CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language
Mon Jul 07 11:57:04 +0000 2014,486116688497106944,RT @Newspaperwalli: As India's landmark Right to Information Act turns 9 @CHRI_INT mines data on its performance. MyStory @timesofindia  ht?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,11,0,,,http://t.co/srQ76PCisa,http://timesofindia.indiatimes.com/city/mumbai/66000-RTI-complaints-pending-in-six-info-panels-Maha-tops-list/articleshow/37918884.cms?intenttarget=no,140,,,,,timesofindia,Times of India,134758540,false,false,false,en
Mon Jul 07 11:50:06 +0000 2014,486114932597858304,UPSC posts civil services exam marksheets online http://t.co/rYzSOjPlI5,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,,,,,,,,,,,18,13,,,http://t.co/rYzSOjPlI5,http://timesofindia.indiatimes.com/india/UPSC-posts-civil-services-exam-marksheets-online/articleshow/37961324.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,71,,,,,,,,false,false,false,en
Mon Jul 07 11:50:03 +0000 2014,486114921826902016,A revolutionary rocket engine that may make space travel cheaper in future - http://t.co/X5T8Iu6ugz,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,18,6,,,http://t.co/X5T8Iu6ugz,http://timesofindia.indiatimes.com/home/science/This-rocket-engine-will-revolutionize-space-travel/articleshow/37929507.cms,99,,,,,,,,false,false,false,en
Mon Jul 07 11:40:15 +0000 2014,486112456679251969,#Fifa debutants who sizzled this season http://t.co/LFBUwFBi5p http://t.co/h4C95rtqxT,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,51,43,Fifa,,http://t.co/LFBUwFBi5p,http://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2014/top-stories/Fifa-World-Cup-2014-Fifa-debutants-who-sizzled-this-season/articleshow/37946186.cms,62,85,http://pbs.twimg.com/media/Br77PLeCIAAxYy6.jpg,http://t.co/h4C95rtqxT,photo,,,,false,false,false,en
Mon Jul 07 11:35:06 +0000 2014,486111159158710272,Meet the 17-year-old US girl who could soon be youngest lawmaker in her state http://t.co/Jx4U2QNHrE,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,,,,,,,,,,,39,23,,,http://t.co/Jx4U2QNHrE,http://timesofindia.indiatimes.com/world/us/Meet-the-17-year-old-US-girl-who-could-soon-be-youngest-lawmaker-in-her-state/articleshow/37959654.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,100,,,,,,,,false,false,false,en
Mon Jul 07 11:34:45 +0000 2014,486111069165744130,"RT @RailMinIndia: The Ministry of Railways is now on social media. We look forward to interacting with netizens, using this vibrant medium.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,549,0,,,,,,,,,,RailMinIndia,Ministry of Railways,2602959463,false,false,,en
Mon Jul 07 11:30:22 +0000 2014,486109968349687809,How Nitin Shah built a Rs 1000 crore fire protection company from less than Rs 20 of his own http://t.co/RglDRyoz6q,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,35,34,,,http://t.co/RglDRyoz6q,http://timesofindia.indiatimes.com/business/india-business/How-Nitin-Shah-built-a-Rs-1000-crore-fire-protection-company-from-less-than-Rs-20-of-his-own/articleshow/37958201.cms,115,,,,,,,,false,false,false,en
Mon Jul 07 11:30:16 +0000 2014,486109943062224897,Dubai planning to build a temp-controlled ?city? - http://t.co/9PeKqPr58e,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,34,15,,,http://t.co/9PeKqPr58e,http://timesofindia.indiatimes.com/home/science/Dubai-planning-to-build-a-temp-controlled-city/articleshow/37929657.cms,73,,,,,,,,false,false,false,en
Mon Jul 07 11:25:05 +0000 2014,486108637811597313,"Sensex creates history by closing above 26,000 mark http://t.co/0ubqegFgaH","<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,,,,,,,,,,,29,21,,,http://t.co/0ubqegFgaH,http://timesofindia.indiatimes.com/business/india-business/Sensex-creates-history-by-closing-above-26000-mark-on-Budget-cues/articleshow/37959519.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,74,,,,,,,,false,false,false,en
Mon Jul 07 11:15:15 +0000 2014,486106164141096960,Most popular managers of #Fifa 2014 http://t.co/DTbL8gB7Ov,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,16,6,Fifa,,http://t.co/DTbL8gB7Ov,http://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2014/top-stories/Fifa-World-Cup-2014-Most-popular-managers-of-Fifa-2014/articleshow/37952797.cms,58,,,,,,,,false,false,false,ro
